video_title,gesture,
DontDisturb/10-December-2022-13-41-30_gesture_DontDisturb,DontDisturb,
ComeHere/10-December-2022-13-41-53_gesture_ComeHere,ComeHere,
Bad/10-December-2022-13-42-18_gesture_Bad,Bad,
Emergency/10-December-2022-13-42-44_gesture_Emergency,Emergency,
CantHear/10-December-2022-13-43-09_gesture_CantHear,CantHear,
CantSee/10-December-2022-13-44-05_gesture_CantSee,CantSee,
Bathroom/10-December-2022-13-44-23_gesture_Bathroom,Bathroom,
Call/10-December-2022-13-44-50_gesture_Call,Call,
CantSleep/10-December-2022-13-45-12_gesture_CantSleep,CantSleep,
Afraid/10-December-2022-13-45-34_gesture_Afraid,Afraid,
Hungry/10-December-2022-13-45-56_gesture_Hungry,Hungry,
ListenToMusic/10-December-2022-13-46-18_gesture_ListenToMusic,ListenToMusic,
LetMeExercise/10-December-2022-13-46-43_gesture_LetMeExercise,LetMeExercise,
Five/10-December-2022-13-47-11_gesture_Five,Five,
ItIsPaining/10-December-2022-13-47-39_gesture_ItIsPaining,ItIsPaining,
Four/10-December-2022-13-47-57_gesture_Four,Four,
Good/10-December-2022-13-48-29_gesture_Good,Good,
Interesting/10-December-2022-13-48-55_gesture_Interesting,Interesting,
Hi/10-December-2022-13-49-19_gesture_Hi,Hi,
GetUp/10-December-2022-13-49-53_gesture_GetUp,GetUp,
NeedAShower/10-December-2022-13-50-21_gesture_NeedAShower,NeedAShower,
Next/10-December-2022-13-50-49_gesture_Next,Next,
Omg/10-December-2022-13-51-12_gesture_Omg,Omg,
One/10-December-2022-13-51-38_gesture_One,One,
OrderFood/10-December-2022-13-52-00_gesture_OrderFood,OrderFood,
PlayAGame/10-December-2022-13-52-26_gesture_PlayAGame,PlayAGame,
Three/10-December-2022-13-52-47_gesture_Three,Three,
ShowMePhotos/10-December-2022-13-53-21_gesture_ShowMePhotos,ShowMePhotos,
Two/10-December-2022-13-53-43_gesture_Two,Two,
Whatever/10-December-2022-13-54-05_gesture_Whatever,Whatever,
